,NO2_5d_tucson
620,9.6152172
621,6.5652174
622,6.741666599999999
623,15.7100002
624,12.181666600000002
625,13.525
626,5.981884
627,8.401449199999998
628,7.240151599999999
629,9.0969698
630,15.966666800000002
631,7.8083332
632,8.1583332
633,11.595289999999999
634,8.772826
635,10.6916666
636,16.758333399999998
637,9.109848399999999
638,15.7416668
639,13.8826086
640,19.6844202
641,14.958695600000002
642,19.392857
643,6.6628788
644,19.7763504
645,14.7333334
646,15.240941800000002
647,13.3666666
648,19.8134058
649,8.8287878
650,17.166666600000003
651,17.1348486
652,19.136956399999995
653,17.85
654,16.3259836
655,9.183333199999998
656,18.516666600000004
657,17.841666600000003
658,12.6348484
659,18.8190474
660,18.4778986
661,9.0398552
662,16.2065218
663,16.575000199999998
664,19.286594
665,18.3394924
666,11.866666600000002
667,8.940546600000003
668,15.1416666
669,17.246739400000006
670,11.0666668
671,10.960606
672,13.892272599999998
673,10.475000199999998
674,12.666666599999996
675,11.0199274
676,10.800724800000001
677,10.298550799999996
678,15.416666399999999
679,10.939393999999998
680,11.8739134
681,8.4113634
682,9.2655798
683,9.3594204
684,13.958333199999998
685,9.541666800000002
686,13.148913
687,8.025724799999999
688,8.7219698
689,8.6999998
690,13.983333199999999
691,8.663834
692,12.1
693,7.820652000000001
694,7.5016666
695,8.0101448
696,10.490909199999999
697,9.3083334
698,11.35
699,9.033333199999998
700,8.4445652
701,7.6579711999999995
702,11.45
703,10.233333400000001
704,11.183333199999998
705,10.7550002
706,8.266666599999999
707,10.3204546
708,12.903985600000002
709,10.3623518
710,11.6416668
711,14.846739199999998
712,9.3865942
713,16.7
714,13.243115799999998
715,13.7939394
716,8.6613636
717,14.0492424
718,17.8844204
719,17.0431158
720,8.4666666
721,14.5166666
722,8.3416666
723,16.0188408
724,17.9507576
725,16.775
726,18.426515
727,13.7583334
728,6.402898400000001
729,18.404511000000007
730,15.6833334
731,9.485507400000001
732,17.5336956
733,14.200000200000002
734,7.518115799999999
735,15.4652381
736,15.7695652
737,12.591666800000002
738,15.068182000000002
739,15.4
740,8.3822023
741,15.0865532
742,11.2329708
743,15.0485508
744,13.9833334
745,12.8416666
746,9.3130432
747,11.216579699999999
748,11.9
749,7.546212
750,9.7438406
751,13.5920288
752,8.124999800000001
753,13.137348300000001
754,8.4333334
755,7.475
756,10.4613636
757,12.341666800000002
758,7.9945650000000015
759,11.71
760,9.440942
761,10.497463800000002
762,7.608333400000001
763,9.7485508
764,9.101190400000002
765,12.889365899999998
766,6.4228262
767,7.778260800000001
768,5.286904799999999
769,10.1416666
770,9.6108696
771,11.692282700000002
772,6.4583332
773,7.1804348000000005
774,7.9942030000000015
775,8.2916666
776,10.328260599999998
777,9.653750099999998
778,15.8732427
779,8.703260799999999
780,8.4583334
781,10.780072599999999
782,9.5325756
783,11.399245800000001
784,11.6994087
785,8.396401399999998
786,12.1689856
787,13.2809091
788,11.9583334
789,8.613485
790,16.5570834
791,17.9525
792,13.363509699999998
793,17.335227300000003
794,13.5159422
795,8.6758334
796,18.5701599
797,15.640199099999995
798,13.5071755
799,12.6475693
800,19.022917000000003
