,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
1556,2000-02-09,3.8749999999999982,-0.011916000000000003,2.1583330000000003,0.10625000000000001
1448,2000-02-10,5.333332999999998,-0.004125,0.4083334999999999,0.10833349999999992
1459,2000-02-11,15.750000500000002,-0.017083000000000008,2.15833325,0.25208325000000004
1470,2000-02-12,-0.6449405000000006,-0.005749999999999998,2.9753789999999998,0.21145849999999994
569,2000-02-13,0.7291659999999958,0.0077295,2.779167,0.033332999999999946
700,2000-02-14,6.1928035,0.002271000000000002,3.26418875,0.33437525
830,2000-02-15,12.3736745,0.0008339999999999997,2.85095775,0.4284422500000001
960,2000-02-16,9.900000000000004,0.007312500000000003,2.11875,0.21875049999999996
1090,2000-02-17,-6.1714009999999995,0.015937,2.699961,-0.07971024999999993
1221,2000-02-18,11.939583000000006,0.003521,2.9447915,0.38750000000000007
1351,2000-02-19,13.804167,0.007437500000000001,3.0114585,0.55833325
1610,2000-02-20,0.7281705000000027,0.005083500000000001,3.00767075,0.07256950000000001
1740,2000-02-21,-1.041667000000004,0.009417,3.75625025,0.12187500000000001
1871,2000-02-22,1.1391304999999967,0.0027915000000000023,2.14549275,0.20937450000000002
2895,2000-03-02,-6.491666499999997,0.013749499999999998,1.2124322500000002,-0.06924825000000001
2906,2000-03-03,6.125,0.007541000000000004,0.5062499999999999,0.19166650000000002
2916,2000-03-04,5.166667,0.009624999999999998,1.8562500000000002,0.05624999999999997
2926,2000-03-05,9.0,0.0006670000000000009,2.408333,0.19583349999999994
2937,2000-03-06,3.458332999999998,-0.005875000000000002,1.99375,0.008333000000000035
2948,2000-03-07,1.3869050000000005,-0.006375000000000002,1.2147255000000001,-0.085985
2959,2000-03-08,8.938406,0.006999999999999999,-0.05507249999999986,0.106159
2970,2000-03-09,1.25,-0.006334000000000003,2.5854169999999996,0.066667
2863,2000-03-10,-2.9583329999999997,0.009583999999999999,0.03869049999999996,0.06639499999999998
2874,2000-03-11,16.4520835,-0.016978500000000007,1.6291665000000002,0.25416649999999996
2884,2000-03-12,7.017234500000001,-0.014125000000000002,2.9497865000000005,0.25982825
580,2000-03-13,9.333333000000003,0.004875000000000001,1.960417,0.033333499999999905
710,2000-03-14,12.074276000000006,0.0046670000000000045,2.0916665,0.1241855
840,2000-03-15,5.458333,0.014332999999999999,1.99375,0.09791649999999996
970,2000-03-16,5.375,0.009792000000000002,2.0506215,0.13750000000000007
1100,2000-03-17,10.5,0.0018340000000000058,1.6979164999999998,0.1979165
1231,2000-03-18,2.8605069999999984,0.007165999999999999,2.0380435,0.08749999999999991
