,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
43,2000-01-02,-2.925725,0.012145500000000004,1.2698357500000004,0.07441100000000023
53,2000-01-03,9.2862315,0.003541500000000003,0.87205,0.39877724999999997
64,2000-01-04,7.458333000000003,0.012500500000000001,-0.07195500000000021,0.3395834999999999
74,2000-01-05,-0.9624995000000003,-0.012124499999999996,2.75691,1.0221015000000002
85,2000-01-06,26.9375,-0.013916000000000005,1.2114582500000002,0.24043574999999995
96,2000-01-07,3.375000500000004,-0.002645500000000002,-1.038595,0.21843274999999995
107,2000-01-08,15.106618,-0.005437499999999998,-0.31562525,0.19415775
117,2000-01-09,22.234948499999998,-0.0166255,0.6825755000000002,0.6114587499999999
11,2000-01-10,-8.625000000000007,0.008584,-2.1156249999999996,-0.4625549999999999
22,2000-01-11,16.365530000000003,-0.0242085,-0.21047499999999997,0.7671197500000002
33,2000-01-12,16.864129999999992,-0.0124585,4.314118000000001,1.658696
502,2000-01-13,49.660714,-0.023166,8.957440499999999,2.4473485
630,2000-01-14,41.08333400000001,-0.014917,9.112499999999999,2.7458335000000003
758,2000-01-15,29.333334000000004,-0.011708000000000001,7.1979165,1.9562505
885,2000-01-16,23.375,-0.008292,4.289583,1.2854165000000002
1011,2000-01-17,36.5,-0.010708000000000002,6.0791664999999995,1.5583334999999998
1138,2000-01-18,38.655303,-0.014833999999999998,9.383411500000001,2.380254
1264,2000-01-19,33.08333400000001,-0.019209000000000004,7.9208335,2.0541665
1520,2000-01-20,25.3619505,-0.016707999999999997,7.79044375,1.8759635000000001
1648,2000-01-21,40.166667000000004,-0.018458000000000002,5.277083000000001,1.6500000000000001
1776,2000-01-22,28.333333000000003,-0.017042,5.079166500000001,1.5854164999999998
1904,2000-01-23,32.196428000000004,-0.008875000000000001,5.54072,1.6839015000000002
2029,2000-01-24,36.083332999999996,-0.013416,7.36875,1.614584
2155,2000-01-25,12.041666000000006,-0.012666000000000002,5.652083,0.70625
2281,2000-01-26,2.0507239999999953,-0.007917000000000004,0.8839015000000003,0.217935
2407,2000-01-27,13.625,-0.014417000000000003,2.3383555,0.6229165000000002
2533,2000-01-28,18.125,-0.018583,2.1386905,1.066667
2659,2000-01-29,18.041667,-0.00775,4.199781000000001,1.475
2906,2000-01-30,14.799242000000003,-0.018332999999999995,-0.642029,0.9993660000000002
3021,2000-01-31,12.038043000000002,-0.017813,1.97997775,0.9392044999999998
1393,2000-02-01,6.25,-0.01725,-0.29583349999999986,0.4395834999999999
1436,2000-02-02,8.168478,0.010187000000000002,2.355428,0.09714674999999984
1446,2000-02-03,11.000000000000004,0.005187500000000003,1.7895830000000001,0.31770850000000006
1457,2000-02-04,8.437499999999996,0.010979,0.3155144999999999,0.38399600000000006
1467,2000-02-05,-14.937499500000001,-0.00018699999999998926,1.643889,0.8364582500000001
1478,2000-02-06,24.625,-0.024041,0.26657175,0.24166674999999999
1489,2000-02-07,-1.1428575000000034,0.003999500000000003,-1.175,0.18124975000000004
1500,2000-02-08,9.508771999999999,-0.00022900000000000004,-1.2239582500000001,0.06874999999999998
1510,2000-02-09,12.752976499999999,-0.019291999999999997,1.1979164999999998,0.8667119999999998
1404,2000-02-10,-2.291666499999998,0.004479,-1.9770832500000002,-0.32708325000000005
1415,2000-02-11,26.649621999999997,-0.027958000000000007,0.2471724999999998,0.8168557500000002
