,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
42,2000-01-02,24.500000000000007,0.0305,-0.9874999999999998,0.29791650000000014
53,2000-01-03,12.764493000000002,0.0010419999999999978,3.902213,0.3929349999999999
74,2000-01-09,22.821428,-0.03325,-1.2463505,0.03750000000000003
11,2000-01-10,3.375,0.0026250000000000023,-0.21666649999999998,0.06831100000000001
21,2000-01-11,-1.5,-0.023084,-0.9776004999999999,0.11875000000000013
31,2000-01-12,9.749999999999996,-0.011541999999999998,0.3229169999999999,1.2520830000000003
292,2000-01-13,116.916666,-0.011708,1.2041665,1.6770835000000004
364,2000-01-14,36.541667000000004,0.010499999999999999,1.0,0.5750000000000002
436,2000-01-15,91.87500000000001,0.0038749999999999965,1.36875,1.4708335
507,2000-01-16,55.632576,0.007500000000000003,1.1574145,0.9979165000000001
579,2000-01-17,75.655303,0.0038329999999999996,1.446998,1.251993
651,2000-01-18,89.55303099999999,-0.007125000000000003,2.1739774999999995,1.527717
724,2000-01-19,120.91666699999999,-0.008041,2.9479165,1.8583329999999998
872,2000-01-20,72.371212,0.0008750000000000008,3.4039985,1.1436590000000002
944,2000-01-21,77.583333,-0.0031249999999999993,2.7624999999999993,1.1395835
1017,2000-01-22,60.458332999999996,-0.0005420000000000008,3.3291665000000004,0.8937500000000002
1089,2000-01-23,62.291667000000004,0.007290999999999999,3.2833334999999995,1.097917
1159,2000-01-24,61.590909,0.0028750000000000026,1.5611804999999999,1.0834235
1229,2000-01-25,36.125,0.012542000000000001,0.0,0.6187495
1299,2000-01-26,31.625,0.006874999999999999,0.7437499999999999,0.5854165
1369,2000-01-27,47.609849,-0.004542000000000004,0.11103899999999989,0.6062495
1440,2000-01-28,59.916667000000004,-0.013290999999999997,0.07916699999999977,0.8187499999999999
1511,2000-01-29,51.625,-0.005125000000000001,0.17083300000000023,0.847917
1647,2000-01-30,39.208332999999996,-0.011708,-0.04583300000000046,0.595833
1709,2000-01-31,29.318182,-0.013417000000000002,0.2326934999999999,0.61558
798,2000-02-01,14.291666000000001,-0.018167000000000003,0.25,0.25625
840,2000-02-02,22.181818,0.025333,-1.9920104999999997,-0.15905750000000007
851,2000-02-03,9.953947,0.003209,4.620393,0.3902175
862,2000-02-09,6.208332999999998,0.0007919999999999976,-0.5458334999999999,-0.10433800000000004
809,2000-02-10,5.651515,0.0006250000000000006,-0.0642855,0.045833499999999916
819,2000-02-11,15.392857,-0.027832999999999997,-0.6403725,0.29375
829,2000-02-12,-3.0416659999999993,0.0010419999999999978,-0.25478800000000024,0.9645835
333,2000-02-13,0.8048249999999939,0.033666,0.10509849999999998,-0.06503599999999998
405,2000-02-14,22.316667,0.023618000000000004,-0.20473450000000026,0.14393149999999988
477,2000-02-15,55.375,0.026833000000000003,0.2562500000000001,0.6062500000000001
548,2000-02-16,72.798913,0.013624999999999998,1.4825754999999998,0.932008
620,2000-02-17,13.583333000000003,0.021041999999999998,1.0854165000000005,0.16250050000000005
692,2000-02-18,27.208333999999997,0.004,1.4020835,0.29583349999999997
766,2000-02-19,68.666667,0.0009999999999999974,2.6520835,0.939583
914,2000-02-20,22.708333,0.013875000000000002,1.7895834999999998,0.3354170000000001
986,2000-02-21,-0.875,0.011375,0.7399969999999998,-0.29003599999999996
1059,2000-02-22,16.864286,-0.0032089999999999966,1.0421794999999998,0.311775
1129,2000-02-23,14.938405999999997,0.002957999999999999,1.3868530000000003,0.38550750000000006
1199,2000-02-24,8.208333,0.011166999999999996,1.4999999999999998,0.06458350000000002
1268,2000-02-25,49.083332999999996,-0.011292,2.770833,0.8833335000000001
1338,2000-02-26,32.541667,0.003332999999999999,2.579167,0.7729170000000001
1410,2000-02-27,32.625,0.015708999999999997,2.6125000000000003,0.7812505
1480,2000-02-28,2.202380999999999,0.012332999999999998,1.8201474999999996,0.13840550000000007
1552,2000-02-29,14.454545,-0.0017089999999999987,4.412450499999999,0.5643444999999999
1575,2000-03-01,41.396104,-0.017208000000000005,-0.4833335000000001,0.8452405000000002
1615,2000-03-02,47.25,0.024541,-1.1645834999999998,0.38750000000000007
1626,2000-03-03,11.708333,0.005500000000000001,4.4083335,0.33124999999999993
1637,2000-03-09,0.5083330000000004,-0.0031249999999999993,-0.6393375,-0.22056199999999998
1586,2000-03-10,7.208333,-0.004083000000000003,-0.30833350000000004,0.14166650000000003
1595,2000-03-11,11.791667,-0.020417,-0.75625,0.48958299999999993
1605,2000-03-12,-5.833333,-0.002458000000000002,-0.2687499999999998,0.3166665000000001
344,2000-03-13,12.291667,0.0027919999999999993,2.8715370000000005,0.2667575
416,2000-03-14,17.561593999999996,0.0018339999999999988,1.4206910000000001,0.41748199999999985
488,2000-03-15,17.425723999999995,-0.0005409999999999998,3.2156390000000004,0.4431820000000001
559,2000-03-16,12.791667,-0.001125000000000001,3.8245940000000003,0.34772800000000004
631,2000-03-17,10.696969,0.0025000000000000022,4.449161500000001,0.200947
703,2000-03-18,7.5795449999999995,0.009291,5.7895055,0.277174
777,2000-03-19,-0.4583340000000007,0.012083,5.466666999999999,-0.006249999999999978
923,2000-03-20,6.556159000000001,0.005417000000000002,7.9740945,0.208333
997,2000-03-21,7.1666659999999975,0.005375000000000001,8.2895835,0.06647750000000002
1070,2000-03-22,20.166666999999997,-0.005666000000000001,10.1979165,0.3608695
1140,2000-03-23,17.249999999999996,-0.005375000000000001,12.243749999999999,0.485417
1210,2000-03-24,24.333334,-0.0005410000000000033,15.125,0.7958335000000001
1279,2000-03-25,13.916666000000003,0.010499999999999999,14.590424500000001,0.42859900000000006
